Car,Price,Miles Driven,Location,Posted,Link
2019 Ram 1500 Truck Dodge Big Horn/Lone Star Crew Cab,"$33,758",45k mi,Call *(512) 600-4307* to Confirm Availability Instantly,19 mins ago,https://austin.craigslist.org/ctd/d/austin-2019-ram-1500-truck-dodge-big/7665100235.html
2003 Ford Focus ZTW *Only 99k Miles*,"$3,900",99k mi,Round Rock,22 mins ago,https://austin.craigslist.org/cto/d/round-rock-2003-ford-focus-ztw-only-99k/7665099011.html
2008 Toyota Prius *Clean Carfax*,"$5,995",153k mi,Round Rock,26 mins ago,https://austin.craigslist.org/cto/d/round-rock-2008-toyota-prius-clean/7665097605.html
2013 Hyundai Genesis Coupe Grand Touring 3.8,"$6,900",234k mi,Lakeway,27 mins ago,https://austin.craigslist.org/cto/d/austin-2013-hyundai-genesis-coupe-grand/7665097155.html
Cars and trucks,"$111,111",100mi,Round Rock,37 mins ago,https://austin.craigslist.org/cto/d/round-rock-cars-and-trucks/7665093970.html
2023 Ford Bronco Outerbanks 1k Miles PAINT MATCHED LIFT KIT LOADED,"$79,900","1,533mi",Austin,53 mins ago,https://austin.craigslist.org/ctd/d/austin-2023-ford-bronco-outerbanks-1k/7665088678.html
2016 Hyundai Santa Fe Sport SUV,"$13,595",120k mi,Call *(737) 210-4218* to Confirm Availability Instantly,1h ago,https://austin.craigslist.org/ctd/d/austin-2016-hyundai-santa-fe-sport-suv/7665086447.html
2016 Toyota Corolla S Plus 105k miles,"$12,800",105k mi,Austin,1h ago,https://austin.craigslist.org/cto/d/austin-2016-toyota-corolla-plus-105k/7665084198.html
2001 Ford F-350 Lariat Super Duty 7.3 Powerstroke Diesel 4x4 (64k Mile,"$33,000",64k mi,Nationwide,1h ago,https://austin.craigslist.org/ctd/d/austin-2001-ford-350-lariat-super-duty/7665082156.html
2017 Ram 3500 Tradesman Crew Cab DRW 4X4 8' Box Truck 3500 Ram,"$34,995",192k mi,2017 Ram 3500,1h ago,https://austin.craigslist.org/ctd/d/houston-2017-ram-3500-tradesman-crew/7665080360.html
2015 Chevy Turbo 1500 LTZ,"$30,000",52k mi,Lexington,2h ago,https://austin.craigslist.org/cto/d/lexington-2015-chevy-turbo-1500-ltz/7665072532.html
2016 Dodge Challenger SXT Coupe,"$19,952",84k mi,Call *(512) 600-4307* to Confirm Availability Instantly,2h ago,https://austin.craigslist.org/ctd/d/austin-2016-dodge-challenger-sxt-coupe/7665068461.html
2019 BMW X1 AWD All Wheel Drive xDrive28i SUV,"$29,336",33k mi,Call *(737) 210-4218* to Confirm Availability Instantly,2h ago,https://austin.craigslist.org/ctd/d/austin-2019-bmw-x1-awd-all-wheel-drive/7665068174.html
HYUNDAI ELANTRA 2016 GT,"$12,500",87k mi,Austin,3h ago,https://austin.craigslist.org/cto/d/austin-hyundai-elantra-2016-gt/7665064204.html
E250 camper van,"$8,800",180k mi,Austin,12/09,https://austin.craigslist.org/cto/d/austin-e250-camper-van/7665031194.html
Ford F450,"$18,500",129k mi,Austin,12/09,https://austin.craigslist.org/cto/d/austin-ford-f450/7665031051.html
2016 Prius Four - Fully Loaded - 78k miles,"$18,000",78k mi,austin,12/09,https://austin.craigslist.org/cto/d/cedar-park-2016-prius-four-fully-loaded/7665029619.html
2017 BMW I3 Range Extended,"$21,500",30k mi,"austin, roundrock,cedarpark",12/09,https://austin.craigslist.org/cto/d/austin-2017-bmw-i3-range-extended/7665024140.html
2002 Toyota Rav4,"$6,300",155k mi,Kyle,12/09,https://austin.craigslist.org/cto/d/kyle-2002-toyota-rav4/7665021814.html
2018 Porsche Cayenne 4D Sport Utility Platinum Edition,"$39,500",59k mi,Austin,12/09,https://austin.craigslist.org/cto/d/austin-2018-porsche-cayenne-4d-sport/7665017604.html
2011 Kia Rio,"$2,000",135k mi,Austin,12/09,https://austin.craigslist.org/cto/d/austin-2011-kia-rio/7665015638.html
